Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
148	13	0.225036706	1.63331796	293.198317	293.197917	293.197327	293.198356	0.000623014458	8.37448556e-05	0	13.4	0	0	3
149	13	0.22681692	1.64435389	293.198308	293.197939	293.197346	293.198356	0.00064454162	8.37448556e-05	0	12.9	0	0	3
150	13	0.228596384	1.65538983	293.198298	293.19796	293.19736	293.198356	0.000665420637	8.37448556e-05	0	12.5	0	0	3
151	13	0.230379647	1.66642576	293.198287	293.19798	293.197378	293.198356	0.000685785432	8.37448556e-05	0	12.2	0	0	3
152	13	0.232161167	1.67746169	293.198282	293.198	293.197396	293.198356	0.000705627552	8.37448556e-05	0	11.8	0	0	3
153	14	0.233946831	1.68849762	293.198273	293.198019	293.197414	293.198356	0.000724926871	8.37448556e-05	0	11.5	0	0	3
154	14	0.235731485	1.69953356	293.198269	293.198038	293.197431	293.198356	0.00074370503	8.37448556e-05	0	11.2	0	0	3
155	14	0.237516544	1.71056949	293.198264	293.198056	293.197453	293.198356	0.000762034246	8.37448556e-05	0	10.9	0	0	3
156	14	0.239298814	1.72160542	293.198265	293.198074	293.197472	293.198356	0.000779879854	8.37448556e-05	0	10.7	0	0	3
157	14	0.241081622	1.73264135	293.198261	293.198091	293.197495	293.198356	0.000797247027	8.37448556e-05	0	10.5	0	0	3
158	14	0.242859773	1.74367728	293.198261	293.198108	293.197517	293.198356	0.000814059944	8.37448556e-05	0	10.2	0	0	3
159	14	0.244634794	1.75471322	293.198258	293.198124	293.197545	293.198356	0.000810648583	8.37448556e-05	0	10.3	0	0	3
160	14	0.246408415	1.76574915	293.198258	293.19814	293.19757	293.198356	0.000785551511	8.37448556e-05	0	10.6	0	0	3
161	14	0.248184113	1.77678508	293.198255	293.198155	293.1976	293.198356	0.000755540337	8.37448556e-05	0	11	0	0	3
162	14	0.249956787	1.78782101	293.198253	293.198169	293.19763	293.198356	0.000726016048	8.37448556e-05	0	11.5	0	0	3
163	14	0.25172844	1.79885694	293.198252	293.198183	293.197662	293.198356	0.000693535105	8.37448556e-05	0	12	0	0	3
164	14	0.253504416	1.80989288	293.198248	293.198196	293.197701	293.198356	0.000654283078	8.37448556e-05	0	12.7	0	0	3
165	15	0.255279173	1.82092881	293.198247	293.198208	293.197737	293.198356	0.000618608568	8.37448556e-05	0	13.5	0	0	3
166	15	0.257059376	1.83196474	293.198246	293.198219	293.197775	293.198356	0.000580432702	8.37448556e-05	0	14.4	0	0	3
167	15	0.25883946	1.84300067	293.19825	293.198229	293.19782	293.198356	0.000535979371	8.37448556e-05	0	15.6	0	0	3
168	15	0.260618198	1.85403661	293.198252	293.198239	293.19786	293.198356	0.000495475818	8.37448556e-05	0	16.9	0	0	3
169	15	0.262391664	1.86507254	293.198259	293.198247	293.197903	293.198356	0.000452192492	8.37448556e-05	0	18.5	0	0	3
